identifier,trip_id,speed_avg,speed_urban_avg,speed_highway_avg,speed_rural_avg,acc_avg,acc_urban,acc_highway,acc_rural,duration,duration_urban,duration_highway,duration_rural,duration_driving,duration_driving_urban,duration_driving_highway,duration_driving_rural,distance_total,distance_urban,distance_highway,distance_rural,obd_fuel_consumption
ecodriver043,6808D697-8E75-4C4B-A3E1-36AD0D286E8A,31.210973534971664,31.43043224743316,0.0,28.200000000000063,1.7562561576354685,1.776393442622951,0.0,1.5719999999999998,576.0,545.0,0.0,31.0,368.0,343.0,0.0,25.0,3.200725969958526,2.9964842463676025,0.0,0.2042417235909227,9.770628537384573
ecodriver043,69FF4DE5-52CB-458E-9A9D-ED13E04A473F,26.683866837387978,27.165438311688323,0.0,24.886000000000028,1.420540540540541,1.215517241379311,0.0,2.1637499999999994,403.0,329.0,0.0,74.0,284.0,224.0,0.0,60.0,2.033123751520233,1.6082226142486191,0.0,0.4249011372716147,12.48868778280543
ecodriver043,73567E74-F030-431C-A2EB-A1CD9FEED650,29.58115691453221,31.00590006950252,0.0,22.13093750000001,1.8714258373205743,1.9299287178986424,0.0,1.5642857142857145,652.0,526.0,0.0,126.0,299.0,251.0,0.0,48.0,2.409936881115737,2.11297832729953,0.0,0.2969585538162052,11.702127659574469
ecodriver043,7618E35E-08A9-41F1-8932-9156BA21578B,30.688709403930147,32.36208461425851,0.0,27.37926352617885,1.5798321126760566,1.7070370370370371,0.0,1.345659411011524,1226.0,722.0,0.0,504.0,935.0,621.0,0.0,314.0,7.741718833585192,5.481513418777896,0.0,2.2602054148073063,9.71089696071164
ecodriver043,76EA9822-242F-4508-BFF1-8BD4D7EC0FC3,31.207569814238006,31.86387527839647,0.0,30.421753405152263,1.3501952277657268,1.4654967925873137,0.0,1.2353928039173938,1119.0,554.0,0.0,565.0,824.0,449.0,0.0,375.0,6.900090631360153,4.056161319154352,0.0,2.843929312205816,9.2880978865406
ecodriver043,7AAC7677-76B5-4699-A805-4D458CB806F3,35.53741924000442,31.93657006920408,46.36731428571431,36.40281081081077,1.7382716049382716,1.8908970099667777,1.5792592592592587,1.4203846153846154,1309.0,758.0,278.0,273.0,968.0,578.0,175.0,215.0,9.708420652870114,5.156325127185373,2.35039289681076,2.201702628873956,7.3468563931779185
ecodriver043,7AD31219-0E2D-49DD-B365-882F8551A72E,32.883640321663094,33.72800109043823,0.0,30.67350077949075,1.597476907783009,1.6519882729211086,0.0,1.4607916937053862,1154.0,767.0,0.0,387.0,908.0,657.0,0.0,251.0,8.181148839503454,6.043823535843675,0.0,2.1373253036597792,8.130662851692895
ecodriver043,7C142951-DF99-4F33-BA71-1196C68B3F37,72.21047619047616,48.68782608695647,110.2846956521739,53.94580645161287,1.19079754601227,1.4606622516556291,0.935238095238095,1.016326530612245,736.0,382.0,230.0,124.0,630.0,276.0,230.0,124.0,12.64641413285277,3.758589756443399,7.046575293622531,1.841249082786828,7.717518532969177
ecodriver043,7C73321A-CDE4-4970-9034-7BC343339055,112.11328641657258,44.27999999999956,121.80602771362548,52.17700359342098,0.7448717729810557,2.014054054054055,0.576572690509652,1.1052294533824387,6201.0,434.0,5196.0,571.0,5982.0,412.0,5196.0,374.0,185.38227370741947,5.087393450799513,175.04171843188138,5.2531618247383545,6.54748866010226
ecodriver043,8E488C37-4CFE-4A50-B69B-82594D00EFC3,23.83041837364448,22.728699073520268,0.0,26.76986032376842,1.149382716049383,1.1483185840707963,0.0,1.1518367346938778,1100.0,790.0,0.0,310.0,884.0,643.0,0.0,241.0,5.33165864942164,3.686931793082551,0.0,1.644726856339092,9.522117605258485
