count;frame;lane;on_the_fly;over;Veh_ TypeM;Vm;Veh_ Type1;Veh_RL;V1;Veh_ Type0;Veh_ Type2;Veh_ Type3;platoon;sum_ platoon;d0;d1;d2;d3;opening;s_x;s_y;distancexy;V2;V3;helmet;passenger;dif;ttc;ttcc
94;3530;1;1;0;0;83;1;0;87;0;0;1;0;0;255;255;59.7;1.4;59.7;2.7;7.2;7.7;0;76;1;0;-4;-3.175;0
95;4680;0;1;1;0;80;1;1;57;0;0;0;0;0;255;255;255;255;360.6;2.9;1.7;3.4;0;0;1;0;23;0.365217391;0.365217391
96;6055;0;0;1;0;74;1;0;62;2;1;1;0;0;56.5;89;27.6;0.8;27.6;1.4;13.2;13.3;48;69;1;0;12;1.525;1.525
97;6405;0;0;0;1;70;1;0;69;0;1;3;0;0;255;72.6;1;2.1;2.3;0.4;7.2;7.2;0;59;1;0;1;12.2;12.2
98;6730;0;0;1;0;93;1;0;74;0;1;3;0;0;255;86.8;15.1;2.1;15.2;1.2;13.1;13.2;79;68;1;0;19;0.957894737;0.957894737
99;6880;0;1;1;1;110;2;1;76;1;1;1;0;0;12.6;65.3;29.5;0.8;29.5;2.1;1.9;2.8;71;74;1;0;34;0.229411765;0.229411765
100;6880;1;0;0;0;69;2;1;76;1;0;2;0;0;12.6;255;19;1.8;19.1;1.7;1;2;0;53;1;0;-7;-1;0
101;6930;1;1;1;0;97;1;0;80;1;0;1;0;0;37.4;255;7.2;255;255.1;2.1;2.3;3.1;0;71;1;0;17;0.476470588;0.476470588
102;6930;0;0;1;0;114;1;0;85;0;1;2;0;0;255;61;30.1;0.9;30.1;1.2;12.3;12.4;66;97;1;0;29;0.6;0.6
103;7405;0;0;0;0;70;1;0;75;0;2;1;0;0;255;38.8;9.5;1.5;9.6;0.5;13.7;13.7;61;77;1;0;-5;-3.74;0
104;8605;1;1;1;0;69;2;1;50;0;1;0;0;0;255;255;255;255;360.6;1.9;2.7;3.3;82;0;1;0;19;0.436842105;0.436842105
105;8955;0;1;1;1;88;1;1;77;2;0;1;0;0;18.8;255;35.5;255;257.5;3;4;5;0;81;1;0;11;0.909090909;0.909090909
106;9730;1;1;0;0;65;1;0;61;1;0;1;1;3;55.4;255;2.9;2;3.5;2.3;11.9;12.1;0;89;1;0;4;4.275;4.275
108;10205;0;0;0;0;79;1;0;77;2;4;1;0;0;27.8;69.8;21.3;1.4;21.3;1;13.7;13.7;59;72;1;0;2;9.35;9.35
109;10280;1;0;0;0;80;4;1;65;2;0;1;0;0;33.5;255;255;1.3;255;2.4;4.3;4.9;65;77;1;0;15;0.66;0.66
110;10355;1;0;1;0;71;2;1;64;1;1;1;1;2;19.3;11.6;0.6;2.6;2.7;1.1;3.8;4;75;65;1;0;7;1.285714286;1.285714286
111;10505;1;0;0;0;76;3;1;68;2;1;1;0;0;35.2;15.1;0.3;1.6;1.6;0.3;6.5;6.5;68;71;1;0;8;1.4375;1.4375
112;10505;1;1;0;1;68;1;0;71;1;2;1;0;0;17.8;15.3;4.1;1.1;4.2;2.3;1.9;3;76;66;1;0;-3;-2.666666667;0
113;10555;1;1;1;1;82;1;1;65;2;0;2;0;0;25.8;255;10.3;0.3;10.3;3;6.4;7.1;0;76;1;0;17;0.711764706;0.711764706
114;12530;0;1;1;1;64;2;1;54;1;1;1;0;0;26.2;46.1;7.8;2.2;8.1;2.8;1.6;3.2;81;54;1;0;10;0.82;0.82
115;12855;0;1;1;1;91;2;1;61;0;1;1;1;2;255;57.7;19.1;1.6;19.2;1.9;7.7;7.9;57;91;1;0;30;0.43;0.43
116;12855;0;0;1;0;87;1;0;58;1;1;2;0;0;30.5;30.1;2.7;1.2;3;2;4.1;4.6;59;91;1;0;29;0.331034483;0.331034483
117;13155;0;0;0;1;74;1;0;67;1;1;1;1;2;34.1;18.6;255;1.7;255;1.2;8;8.1;66;67;1;0;7;1.871428571;1.871428571
118;13705;1;0;0;1;70;4;1;66;1;1;1;0;0;48.8;118.2;36.6;1.2;36.6;2.1;6.4;6.7;58;60;1;0;4;2.925;2.925
119;13805;1;0;1;0;78;1;1;61;2;1;3;0;0;20.5;60.9;37.8;0.8;37.8;0.7;12;12;61;62;1;0;17;1;1
120;15530;0;1;1;1;97;1;1;79;2;0;1;0;0;27.6;255;47.5;1.2;47.5;3.2;3;4.4;0;95;1;0;18;0.522222222;0.522222222
121;15665;0;1;1;0;100;2;1;69;1;1;2;0;0;33.1;65;28.4;1.6;28.4;2.3;5;5.5;67;92;1;0;31;0.338709677;0.338709677
122;15865;1;0;1;1;93;2;1;66;1;1;1;1;2;26.8;13.7;5.1;2;5.5;0.8;4.6;4.7;70;80;1;0;27;0.359259259;0.359259259
123;16965;0;1;1;0;81;1;1;56;0;0;0;0;0;255;255;255;255;360.6;2.7;5.8;6.4;0;0;1;0;25;0.456;0.456
124;18365;0;1;1;1;108;1;1;79;3;0;0;0;0;46.6;255;255;255;360.6;3.1;3;4.3;0;0;1;0;29;0.320689655;0.320689655
